Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,
Allyl benzenes,7298 + 7274,1H8,1D6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7298 + 7276,1H8,1.00E+06,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7298 + 7278,1H8,1F6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7298 + 7280,1H8,1G6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7298 + 7282,1H8,1H6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7298 + 7284,1H8,1A7,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7300 + 7274,1A9,1D6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7300 + 7276,1A9,1.00E+06,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7300 + 7278,1A9,1F6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7300 + 7280,1A9,1G6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7300 + 7282,1A9,1H6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7300 + 7284,1A9,1A7,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,
Allyl benzenes,7248 + 7266,1G7,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7248 + 7268,1G7,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7248 + 7270,1G7,1.00E+08,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7248 + 7272,1G7,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7250 + 7266,1H7,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7250 + 7268,1H7,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7250 + 7270,1H7,1.00E+08,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7250 + 7272,1H7,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7252 + 7266,1A8,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7252 + 7268,1A8,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7252 + 7270,1A8,1.00E+08,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7252 + 7272,1A8,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7254 + 7266,1B8,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7254 + 7268,1B8,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7254 + 7270,1B8,1.00E+08,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7254 + 7272,1B8,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,chavicol,
Allyl benzenes,7298 + 7274,1H8,1D6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7298 + 7276,1H8,1.00E+06,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7298 + 7278,1H8,1F6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7298 + 7280,1H8,1G6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7298 + 7282,1H8,1H6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7298 + 7284,1H8,1A7,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7300 + 7274,1A9,1D6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7300 + 7276,1A9,1.00E+06,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7300 + 7278,1A9,1F6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7300 + 7280,1A9,1G6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7300 + 7282,1A9,1H6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7300 + 7284,1A9,1A7,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,
Allyl benzenes,7248 + 7266,1G7,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7248 + 7268,1G7,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7248 + 7270,1G7,1.00E+08,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7248 + 7272,1G7,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7250 + 7266,1H7,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7250 + 7268,1H7,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7250 + 7270,1H7,1.00E+08,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7250 + 7272,1H7,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7252 + 7266,1A8,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7252 + 7268,1A8,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7252 + 7270,1A8,1.00E+08,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7252 + 7272,1A8,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7254 + 7266,1B8,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7254 + 7268,1B8,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7254 + 7270,1B8,1.00E+08,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Allyl benzenes,7254 + 7272,1B8,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,eugenol,
Tyrosol,7336,1G3,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,
Tyrosol,7312,1H3,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,
Tyrosol,7314,1A4,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,
Tyrosol,4733,,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,
Tyrosol,6930,,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,
Tyrosol,6931,,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,
Tyrosol,7302 +7184,1C3,1.00E+02,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7302 +7186,1C3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7302 +7188,1C3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7302 +7190,1C3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7302 +7192,1C3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7302 +7194,1C3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7304 +7184,1D3,1.00E+02,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7304 +7186,1D3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7304 +7188,1D3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7304 +7190,1D3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7304 +7192,1D3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7304 +7194,1D3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7306 +7184,1.00E+03,1.00E+02,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7306 +7186,1.00E+03,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7306 +7188,1.00E+03,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7306 +7190,1.00E+03,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7306 +7192,1.00E+03,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7306 +7194,1.00E+03,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7308 +7184,1F3,1.00E+02,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7308 +7186,1F3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7308 +7188,1F3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7308 +7190,1F3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7308 +7192,1F3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,7308 +7194,1F3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4734 +7184,,1.00E+02,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4734 +7186,,1F2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4734 +7188,,1G2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4734 +7190,,1H2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4734 +7192,,1A3,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4734 +7194,,1B3,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4735 +7184,,1.00E+02,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4735 +7186,,1F2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4735 +7188,,1G2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4735 +7190,,1H2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4735 +7192,,1A3,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,4735 +7194,,1B3,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,6924 +7184,,1.00E+02,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,6924 +7186,,1F2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,6924 +7188,,1G2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,6924 +7190,,1H2,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,6924 +7192,,1A3,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
Tyrosol,6924 +7194,,1B3,Tyramine,,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,
COMT,,,,L-DOPA,,197.2,solid,n/a,25.3 mM = 50 mg in 10 ml 0.1 M H2O,3-O-methyl-L-DOPA,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Add 2.4 ul to 20 ul reaction
